age,gender,pattern
49,Kobieta,"[0, 3, 6, 7, 8]"
19,Kobieta,"[6, 1, 8, 7, 2, 0, 3, 4, 5]"
35,Mężczyzna,"[6, 3, 0, 1, 4, 7, 8, 5, 2]"
21,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
20,Mężczyzna,"[6, 3, 0, 1, 2]"
21,Mężczyzna,"[2, 1, 3, 6, 7, 8]"
21,Mężczyzna,"[3, 6, 7, 8, 5, 2, 1, 0]"
46,Kobieta,"[0, 1, 4, 7, 8]"
20,Mężczyzna,"[2, 1, 0, 6, 7, 8]"
28,Kobieta,"[0, 3, 6, 7, 8]"
35,Mężczyzna,"[6, 3, 0, 4, 2, 5, 8]"
22,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
18,Mężczyzna,"[3, 4, 5, 8]"
22,Mężczyzna,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
57,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2]"
18,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
31,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
38,Kobieta,"[0, 1, 2, 5, 8]"
19,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
19,Kobieta,"[0, 3, 6, 7, 8]"
30,Kobieta,"[2, 1, 4, 5, 8, 7]"
20,Mężczyzna,"[8, 5, 2, 1, 0, 4, 7, 6, 3]"
60,Mężczyzna,"[3, 4, 5, 8]"
38,Kobieta,"[3, 4, 5, 8]"
36,Kobieta,"[6, 3, 1, 5, 8, 7]"
45,Kobieta,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
27,Mężczyzna,"[2, 1, 0, 4, 8, 7, 6]"
35,Mężczyzna,"[0, 1, 2, 5, 8]"
22,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
42,Kobieta,"[0, 3, 6, 7, 4, 1]"
19,Kobieta,"[4, 5, 8, 7, 6, 3, 0, 1, 2]"
19,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
24,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
21,Kobieta,"[3, 4, 5, 8]"
41,Mężczyzna,"[2, 4, 6, 7, 8]"
20,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
58,Mężczyzna,"[0, 3, 6, 7, 8]"
25,Mężczyzna,"[6, 3, 4, 5, 2, 1, 7, 8, 0]"
28,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
21,Mężczyzna,"[0, 3, 6, 7, 8]"
28,Kobieta,"[1, 4, 7, 8]"
21,Mężczyzna,"[6, 4, 2, 5, 8]"
18,Kobieta,"[0, 3, 6, 7, 8]"
22,Mężczyzna,"[6, 3, 0, 4, 8, 5, 2]"
22,Mężczyzna,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
37,Kobieta,"[2, 1, 0, 3, 6, 7, 8]"
21,Mężczyzna,"[8, 4, 0, 1, 2, 3, 5, 7, 6]"
21,Kobieta,"[6, 3, 7, 4, 8, 5, 2, 1, 0]"
22,Kobieta,"[6, 4, 2, 5, 8, 0]"
35,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
39,Mężczyzna,"[0, 1, 2, 5, 8]"
35,Kobieta,"[3, 4, 5, 8]"
26,Mężczyzna,"[0, 1, 2, 4, 6]"
22,Kobieta,"[4, 5, 8, 7, 6, 3, 0, 1, 2]"
19,Mężczyzna,"[3, 4, 5, 8]"
21,Mężczyzna,"[0, 3, 4, 5, 8, 6, 1, 2]"
22,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
45,Mężczyzna,"[0, 1, 2, 5, 8]"
45,Mężczyzna,"[0, 3, 6, 7]"
20,Kobieta,"[0, 1, 2, 5, 8]"
19,Kobieta,"[0, 3, 6, 4, 8, 5, 2]"
55,Kobieta,"[0, 3, 6, 7, 8]"
22,Kobieta,"[1, 3, 7, 5, 4, 2]"
23,Kobieta,"[2, 5, 8, 7, 6]"
18,Mężczyzna,"[0, 3, 6, 4, 2]"
22,Mężczyzna,"[0, 3, 6, 4, 8, 5, 2]"
24,Mężczyzna,"[3, 4, 5, 8]"
31,Kobieta,"[2, 1, 0, 3, 6, 7, 8, 5]"
49,Mężczyzna,"[0, 3, 6, 4, 8, 5, 2]"
19,Kobieta,"[0, 3, 6, 4, 8, 5, 2]"
24,Mężczyzna,"[6, 3, 0, 4, 2, 5, 8]"
21,Mężczyzna,"[6, 1, 0, 3, 4, 2, 5, 8, 7]"
28,Kobieta,"[0, 3, 6, 7, 8]"
19,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
27,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
25,Mężczyzna,"[6, 3, 0, 4, 2, 5, 8]"
26,Kobieta,"[2, 1, 0, 3, 6, 7, 8]"
28,Mężczyzna,"[2, 4, 6, 3, 0, 1, 7, 8, 5]"
18,Mężczyzna,"[6, 3, 0, 4, 2, 5, 8]"
25,Mężczyzna,"[0, 3, 6, 7, 4, 1, 2, 5, 8]"
20,Kobieta,"[0, 3, 4, 5, 8]"
19,Mężczyzna,"[2, 1, 0, 6, 7, 8]"
21,Kobieta,"[0, 3, 4, 5, 8]"
24,Kobieta,"[3, 4, 5, 8]"
28,Mężczyzna,"[3, 4, 5, 8]"
40,Kobieta,"[3, 4, 5, 8]"
24,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
18,Mężczyzna,"[3, 4, 5, 8]"
22,Kobieta,"[0, 3, 6, 8]"
25,Kobieta,"[6, 7, 8, 5, 4, 3, 0, 1, 2]"
30,Kobieta,"[2, 1, 0, 3, 6, 7, 8]"
22,Mężczyzna,"[6, 3, 0, 4, 2, 5, 8]"
45,Kobieta,"[4, 5, 8, 7, 6, 0, 1, 2]"
25,Kobieta,"[1, 2, 5, 8, 7, 6, 3, 4]"
22,Mężczyzna,"[6, 4, 2, 5, 8]"
21,Mężczyzna,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
42,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
31,Kobieta,"[4, 3, 5, 8]"
41,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
58,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2]"
21,Kobieta,"[1, 4, 7, 8]"
25,Kobieta,"[4, 5, 8, 7, 6, 3, 0, 1, 2]"
22,Kobieta,"[2, 5, 8, 7, 6, 3, 0, 1, 4]"
26,Kobieta,"[0, 3, 4, 5, 8]"
24,Kobieta,"[6, 3, 0, 1, 2, 4, 7, 8, 5]"
19,Kobieta,"[2, 1, 0, 6, 7, 8, 5, 4]"
19,Kobieta,"[0, 1, 2, 5, 8]"
35,Kobieta,"[4, 5, 2, 0, 3, 6, 7, 8]"
23,Mężczyzna,"[8, 5, 2, 4, 6, 3, 0]"
18,Mężczyzna,"[0, 3, 4, 5, 8]"
46,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
20,Kobieta,"[4, 5, 8, 7, 6, 0, 1, 2]"
20,Kobieta,"[0, 3, 7, 8]"
19,Mężczyzna,"[0, 3, 6, 4, 7, 8, 5, 1, 2]"
19,Mężczyzna,"[2, 5, 8, 7, 6]"
50,Mężczyzna,"[0, 3, 6, 4, 2]"
22,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
18,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
19,Kobieta,"[0, 7, 2, 1]"
20,Kobieta,"[3, 4, 5, 8]"
27,Kobieta,"[0, 1, 4, 7, 8]"
22,Kobieta,"[0, 4, 8, 5, 2]"
31,Kobieta,"[0, 3, 6, 7]"
19,Mężczyzna,"[6, 4, 1, 0, 3, 7, 8, 5, 2]"
34,Kobieta,"[0, 4, 8, 7, 6]"
45,Mężczyzna,"[3, 4, 5, 8]"
21,Mężczyzna,"[1, 3, 7, 5]"
18,Kobieta,"[2, 4, 6, 7, 8, 0, 1]"
46,Mężczyzna,"[3, 4, 5, 8]"
22,Mężczyzna,"[0, 3, 6, 4, 8, 5, 2]"
54,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
25,Mężczyzna,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
19,Kobieta,"[6, 3, 0, 4, 8]"
52,Kobieta,"[0, 3, 6, 7, 4, 1, 2, 5, 8]"
19,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
27,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
33,Mężczyzna,"[0, 3, 6, 7, 8]"
23,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
45,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
20,Mężczyzna,"[0, 1, 4, 7, 8]"
47,Kobieta,"[3, 4, 5, 8]"
38,Kobieta,"[0, 3, 6, 7, 8]"
39,Kobieta,"[0, 1, 2, 5, 8]"
60,Mężczyzna,"[3, 4, 5, 8]"
21,Mężczyzna,"[3, 4, 5, 8]"
22,Kobieta,"[2, 1, 0, 3, 6, 7, 8]"
19,Mężczyzna,"[0, 3, 6, 7, 8]"
20,Mężczyzna,"[2, 4, 6, 7, 8, 5]"
35,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
45,Mężczyzna,"[0, 3, 6, 7, 8]"
27,Kobieta,"[0, 3, 6, 7, 8]"
22,Mężczyzna,"[3, 1, 4, 7]"
18,Kobieta,"[6, 3, 4, 5, 2]"
22,Kobieta,"[3, 1, 5, 7, 6, 4, 2, 8, 0]"
23,Mężczyzna,"[0, 3, 6, 4, 2, 5, 8]"
44,Mężczyzna,"[3, 4, 5, 8]"
20,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
51,Mężczyzna,"[0, 3, 6, 7, 8]"
52,Mężczyzna,"[0, 1, 2, 8]"
24,Mężczyzna,"[6, 3, 0, 4, 2, 5, 8]"
40,Kobieta,"[3, 4, 5, 8]"
22,Mężczyzna,"[0, 1, 2, 5, 8, 7, 6]"
18,Kobieta,"[3, 4, 5, 8]"
23,Kobieta,"[0, 8, 7, 6]"
34,Mężczyzna,"[0, 3, 6, 4, 8, 5, 2]"
24,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8, 5, 3]"
26,Kobieta,"[4, 1, 0, 3, 6, 7, 8]"
22,Kobieta,"[0, 1, 2, 5, 8, 7, 6]"
25,Mężczyzna,"[0, 1, 2, 5, 8]"
25,Mężczyzna,"[2, 1, 0, 4, 8, 7]"
50,Mężczyzna,"[0, 3, 6, 7]"
24,Kobieta,"[0, 3, 6, 7, 8]"
29,Kobieta,"[3, 4, 5, 8]"
20,Kobieta,"[2, 4, 6, 7, 8]"
29,Kobieta,"[0, 3, 6, 7, 8]"
21,Kobieta,"[0, 3, 6, 7, 4, 1, 2, 5, 8]"
40,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2]"
21,Kobieta,"[3, 4, 5, 8]"
23,Mężczyzna,"[6, 7, 8, 5, 4, 3, 0, 1]"
34,Mężczyzna,"[4, 1, 0, 3, 6, 7, 8, 5, 2]"
47,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
23,Mężczyzna,"[2, 1, 0, 3, 6]"
19,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
32,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
18,Mężczyzna,"[6, 3, 1, 2, 5, 8, 7, 4, 0]"
55,Mężczyzna,"[0, 1, 2, 5, 8]"
27,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
39,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
21,Kobieta,"[0, 3, 7, 8]"
19,Kobieta,"[3, 4, 5, 8]"
19,Kobieta,"[3, 4, 5, 8]"
32,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
25,Mężczyzna,"[0, 3, 4, 5, 8]"
18,Kobieta,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
24,Mężczyzna,"[8, 7, 6, 3, 4, 1, 0]"
20,Mężczyzna,"[4, 5, 8, 6, 0, 1, 2]"
35,Mężczyzna,"[3, 4, 5, 8]"
27,Mężczyzna,"[0, 3, 6, 4, 8, 5, 2]"
20,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
61,Kobieta,"[3, 4, 5, 8]"
24,Kobieta,"[0, 1, 2, 8, 6, 3, 4]"
40,Mężczyzna,"[3, 4, 5, 8]"
22,Mężczyzna,"[3, 1, 4, 7]"
40,Kobieta,"[0, 1, 2, 5, 8]"
19,Kobieta,"[2, 1, 0, 3, 6, 7, 8]"
22,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
42,Kobieta,"[0, 1, 2, 5, 8]"
20,Kobieta,"[0, 1, 2, 5, 8, 7, 3, 4]"
39,Mężczyzna,"[6, 3, 0, 1, 4, 7, 8, 5, 2]"
33,Mężczyzna,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
23,Kobieta,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
21,Mężczyzna,"[2, 4, 6, 3, 0]"
23,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2, 1]"
21,Kobieta,"[2, 5, 8, 7, 6]"
20,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
19,Mężczyzna,"[0, 1, 4, 7, 8]"
39,Mężczyzna,"[6, 3, 0, 1, 2, 5, 8]"
19,Kobieta,"[4, 5, 2, 1, 0, 3, 6, 7, 8]"
19,Mężczyzna,"[3, 1, 4, 7]"
20,Mężczyzna,"[0, 3, 6, 4, 8, 5, 2]"
23,Kobieta,"[0, 3, 6, 7, 4, 1, 2, 5, 8]"
40,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
47,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
41,Kobieta,"[2, 1, 0, 3, 6, 7, 8]"
44,Mężczyzna,"[0, 1, 2, 5, 8]"
54,Kobieta,"[3, 4, 5, 8]"
19,Kobieta,"[2, 1, 0, 3, 6, 7, 8, 5, 4]"
21,Mężczyzna,"[0, 3, 6, 7, 8]"
18,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
26,Mężczyzna,"[0, 3, 6, 4, 5, 8]"
23,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
59,Kobieta,"[0, 3, 6, 7, 8]"
21,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
21,Mężczyzna,"[3, 4, 1, 0, 6, 7, 8, 5, 2]"
47,Mężczyzna,"[0, 1, 2, 5, 8, 7, 6]"
22,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
55,Mężczyzna,"[0, 3, 6, 7, 8]"
23,Mężczyzna,"[2, 4, 6, 3, 0, 1, 7, 8, 5]"
20,Mężczyzna,"[0, 3, 6, 4, 8, 5, 2]"
21,Mężczyzna,"[0, 1, 4, 7, 8]"
20,Kobieta,"[0, 1, 2, 5, 8]"
25,Mężczyzna,"[0, 1, 2, 5, 8, 6, 3, 4]"
19,Mężczyzna,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
43,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
68,Mężczyzna,"[3, 4, 5, 8]"
18,Mężczyzna,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
20,Mężczyzna,"[3, 4, 7, 8]"
20,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
25,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
47,Mężczyzna,"[6, 3, 0, 1, 2]"
48,Mężczyzna,"[2, 1, 0, 3, 6]"
20,Kobieta,"[3, 4, 5, 8]"
21,Kobieta,"[0, 3, 6, 4, 8, 5, 2]"
19,Mężczyzna,"[1, 6, 7, 8, 4, 0, 3, 5, 2]"
19,Mężczyzna,"[3, 4, 5, 8]"
23,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7]"
22,Kobieta,"[6, 7, 8, 5, 4, 3, 0, 1, 2]"
25,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8, 5, 3]"
20,Mężczyzna,"[0, 3, 4, 1, 2, 5, 8, 7, 6]"
21,Kobieta,"[2, 1, 0, 3, 6, 7, 8]"
19,Kobieta,"[3, 4, 5, 8]"
34,Mężczyzna,"[0, 3, 6, 7, 8]"
19,Kobieta,"[0, 3, 4, 5, 8]"
21,Mężczyzna,"[6, 3, 7, 5, 8]"
42,Kobieta,"[3, 4, 5, 8]"
20,Mężczyzna,"[2, 4, 6, 7, 8, 5, 3, 0, 1]"
20,Kobieta,"[0, 3, 6, 7, 8]"
24,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
71,Kobieta,"[0, 1, 2, 8]"
20,Mężczyzna,"[0, 3, 6, 4, 8, 5, 2]"
48,Mężczyzna,"[0, 1, 2, 5, 8]"
54,Mężczyzna,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
56,Kobieta,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
30,Kobieta,"[6, 3, 1, 5, 8]"
21,Kobieta,"[6, 7, 8, 0]"
50,Mężczyzna,"[0, 3, 6, 7]"
32,Mężczyzna,"[0, 3, 6, 4, 8, 5, 2]"
59,Kobieta,"[3, 4, 5, 8]"
21,Mężczyzna,"[0, 1, 4, 7, 8]"
23,Kobieta,"[0, 4, 8, 5, 2]"
26,Mężczyzna,"[2, 5, 8, 7, 6]"
19,Kobieta,"[6, 3, 0, 2, 5, 8]"
19,Kobieta,"[0, 4, 8, 5, 1]"
29,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
18,Mężczyzna,"[0, 7, 2, 1, 4, 5, 8]"
19,Mężczyzna,"[4, 1, 0, 3, 6, 7, 8, 5, 2]"
19,Mężczyzna,"[1, 0, 3, 6, 7, 8, 5, 2, 4]"
22,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
22,Kobieta,"[0, 3, 4, 1, 2, 5, 8, 7, 6]"
21,Kobieta,"[0, 3, 6, 7, 8]"
18,Mężczyzna,"[0, 3, 6, 7, 8]"
35,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
25,Kobieta,"[0, 1, 4, 7]"
48,Mężczyzna,"[3, 4, 5, 8]"
67,Mężczyzna,"[3, 4, 5, 8]"
20,Kobieta,"[0, 1, 4, 7, 8]"
45,Mężczyzna,"[0, 3, 6, 7, 8]"
21,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
18,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
23,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
50,Mężczyzna,"[3, 4, 5, 8]"
22,Kobieta,"[0, 2, 4, 6, 7, 8, 5]"
70,Kobieta,"[3, 4, 5, 8]"
33,Mężczyzna,"[0, 3, 6, 7, 8]"
29,Mężczyzna,"[2, 1, 0, 3, 6, 7, 8, 5, 4]"
18,Kobieta,"[6, 3, 0, 4, 2]"
49,Kobieta,"[3, 4, 5, 8]"
18,Mężczyzna,"[8, 5, 1, 0, 4, 7, 6, 3, 2]"
48,Mężczyzna,"[0, 3, 6, 7, 8]"
23,Mężczyzna,"[2, 5, 8, 7, 6]"
20,Mężczyzna,"[5, 2, 1, 0, 3, 4, 8, 7, 6]"
21,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
18,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
19,Kobieta,"[2, 1, 0, 6, 7, 8, 5, 4]"
27,Kobieta,"[3, 4, 5, 8]"
22,Mężczyzna,"[0, 3, 6, 7, 8]"
19,Kobieta,"[3, 4, 5, 8]"
45,Kobieta,"[3, 4, 5, 8]"
24,Mężczyzna,"[0, 1, 4, 7, 8]"
21,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
20,Kobieta,"[0, 1, 2, 5, 8, 7, 6]"
21,Mężczyzna,"[0, 3, 4, 5, 8]"
23,Mężczyzna,"[2, 5, 8, 7]"
86,Mężczyzna,"[0, 3, 6, 7, 8]"
21,Mężczyzna,"[1, 0, 3, 4, 5, 8, 7]"
48,Kobieta,"[2, 1, 0, 3, 6, 7, 8, 5, 4]"
41,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
38,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
24,Mężczyzna,"[2, 1, 0, 6, 7, 8]"
22,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
30,Kobieta,"[0, 3, 6, 7, 8]"
29,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
52,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
22,Kobieta,"[3, 4, 5, 8]"
23,Kobieta,"[0, 3, 6, 4, 2, 5, 8, 7, 1]"
24,Kobieta,"[0, 3, 6, 4, 2, 5, 8]"
21,Mężczyzna,"[6, 3, 7, 5, 8]"
24,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
40,Mężczyzna,"[1, 4, 7, 8]"
21,Mężczyzna,"[0, 1, 2, 5, 8]"
24,Mężczyzna,"[3, 1, 5, 7, 6, 4, 2, 8]"
18,Kobieta,"[4, 5, 8, 7, 6, 3, 0, 1, 2]"
20,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
20,Mężczyzna,"[2, 4, 6, 3, 0, 1, 7, 8, 5]"
52,Mężczyzna,"[6, 7, 8, 5, 2]"
23,Mężczyzna,"[6, 4, 0, 1, 3, 7, 2, 5, 8]"
22,Kobieta,"[0, 3, 6, 4, 1, 2, 5, 8, 7]"
30,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
18,Kobieta,"[1, 4, 5, 2]"
33,Kobieta,"[3, 4, 5, 8]"
28,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
20,Mężczyzna,"[6, 4, 2, 5, 8, 7]"
25,Kobieta,"[0, 3, 4, 7, 8, 5, 2, 1, 6]"
26,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
44,Mężczyzna,"[1, 4, 7, 8]"
20,Kobieta,"[3, 4, 5, 8]"
23,Kobieta,"[0, 1, 4, 7, 8]"
24,Kobieta,"[3, 4, 5, 8]"
21,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
26,Kobieta,"[3, 4, 5, 8]"
34,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
20,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
20,Mężczyzna,"[6, 3, 0, 4, 8, 5, 2]"
37,Mężczyzna,"[6, 3, 0, 1, 2, 5, 8]"
22,Mężczyzna,"[3, 1, 4, 7]"
19,Kobieta,"[3, 4, 5, 8]"
50,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
18,Mężczyzna,"[0, 3, 6, 4, 2, 5, 8]"
26,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2]"
21,Mężczyzna,"[0, 1, 4, 7, 6, 3, 5, 8]"
22,Kobieta,"[6, 4, 2, 5, 8]"
19,Kobieta,"[0, 4, 8, 2]"
23,Mężczyzna,"[6, 3, 0, 4, 2, 5, 8]"
24,Kobieta,"[0, 3, 6, 4, 8, 5, 2]"
29,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
24,Kobieta,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
19,Mężczyzna,"[3, 1, 5, 7, 0, 6, 4, 2, 8]"
29,Kobieta,"[2, 1, 0, 3, 6, 7, 8]"
18,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
50,Kobieta,"[0, 1, 2, 5, 8]"
